  N  h_n_exp  locked  zeros estimates
----------------------------------------------------------------------------------------------------
  1 locked= 0  g1:7.6e-01
  2 locked= 0  g1:3.3e-02 g2:1.3e+00
  3 locked= 0  g1:1.2e-03 g2:1.4e-01 g3:2.1e+00
  4 locked= 0  g1:2.6e-05 g2:2.5e-02 g3:3.4e-01 g4:2.6e+00
  5 locked= 1  g1✓ g2:4.0e-03 g3:8.2e-02 g4:4.2e-01 g5:3.3e+00
  6 locked= 1  g1✓ g2:2.5e-04 g3:1.1e-02 g4:1.1e-01 g5:6.8e-01 g6:3.9e+00
  7 locked= 2  g1✓ g2✓ g3:9.1e-04 g4:3.5e-02 g5:2.8e-01 g6:8.4e-01 g7:4.6e+00
  8 locked= 2  g1✓ g2✓ g3:7.8e-05 g4:1.4e-02 g5:1.3e-01 g6:3.2e-01 g7:1.0e+00 g8:5.2e+00
  9 locked= 3  g1✓ g2✓ g3✓ g4:4.2e-03 g5:3.7e-02 g6:1.2e-01 g7:4.1e-01 g8:1.2e+00 g9:5.6e+00
 10 locked= 3  g1✓ g2✓ g3✓ g4:5.9e-04 g5:6.9e-03 g6:4.9e-02 g7:1.9e-01 g8:5.4e-01 g9:1.3e+00 g10:6.3e+00
 11 locked= 3  g1✓ g2✓ g3✓ g4:4.7e-05 g5:9.4e-04 g6:1.7e-02 g7:8.1e-02 g8:2.7e-01 g9:5.9e-01 g10:1.6e+00 g11:6.9e+00
 12 locked= 4  g1✓ g2✓ g3✓ g4✓ g5:7.2e-05 g6:3.7e-03 g7:3.2e-02 g8:1.6e-01 g9:3.1e-01 g10:7.5e-01 g11:1.8e+00 g12:7.4e+00
 13 locked= 5  g1✓ g2✓ g3✓ g4✓ g5✓ g6:9.1e-04 g7:1.7e-02 g8:9.9e-02 g9:1.6e-01 g10:4.1e-01 g11:8.3e-01 g12:1.9e+00 g13:8.0e+00
 14 locked= 5  g1✓ g2✓ g3✓ g4✓ g5✓ g6:1.7e-04 g7:7.0e-03 g8:3.6e-02 g9:6.2e-02 g10:2.3e-01 g11:4.6e-01 g12:9.1e-01 g13:2.0e+00 g14:8.7e+00
